column,viewname
inc evnt user x,csa_inc_evnt_rmdy2110_t
incident key,csa_inc_evnt_rmdy2110_t
incident_accepted_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_accepted_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_access_seeker_update_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_assigned_group_ts_aest,csa_tmp_inc_evnt_rmdy2110_v4
incident_assigned_group_ts_local,csa_tmp_inc_evnt_rmdy2110_v4
incident_closed_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_closed_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_closed_ts_utc,csa_tmp_inc_evnt_rmdy2110_v5
incident_dispatched_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_dispatched_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_industry_status_change,csa_tmp_inc_evnt_rmdy2110_v4
incident_pended_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_pended_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_reason_change,csa_tmp_inc_evnt_rmdy2110_v4
incident_resolution_rejected_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_resolved_ts_aest,csa_tmp_inc_evnt_rmdy2110_v5
incident_resolved_ts_local,csa_tmp_inc_evnt_rmdy2110_v5
incident_status,csa_tmp_inc_evnt_rmdy2110_v5
incident_status_change,csa_tmp_inc_evnt_rmdy2110_v4
incident_status_ts_aest,csa_tmp_inc_evnt_rmdy2110_v4
incident_status_ts_local,csa_tmp_inc_evnt_rmdy2110_v4
industry_sub_status_change,csa_tmp_inc_evnt_rmdy2110_v4
interaction_milestone,csa_tmp_inc_evnt_rmdy2110_v5
interaction_sequence,csa_tmp_inc_evnt_rmdy2110_v6
interaction_sequence_type,csa_tmp_inc_evnt_rmdy2110_v6
kaizen_l2_process_new,csa_tmp_inc_evnt_rmdy2110_v7
kaizen_l2_process_test,csa_tmp_inc_evnt_rmdy2110_v6
last_modified_by,t2110
log_entries,t2110
log_key_1,t2110
modified_date,t2110
nbn_as_req_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_enduser_engagement_type_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_reason_code,csa_tmp_inc_evnt_rmdy2110_v3
nbn_resrej_accept_reason_change,csa_tmp_inc_evnt_rmdy2110_v6
nbn_resrej_code_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_resrej_comment_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_resrej_decline_code_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_resrej_decline_reason_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_resrej_reason_change,csa_tmp_inc_evnt_rmdy2110_v4
nbn_resrejdecline_comment_change,csa_tmp_inc_evnt_rmdy2110_v4
next_assigned_group_ts,csa_tmp_inc_evnt_rmdy2110_v6
next_audit_date_aest_ts,csa_tmp_inc_evnt_rmdy2110_v6
next_audit_date_local_ts,csa_tmp_inc_evnt_rmdy2110_v6
next_nbn_resrej_decline_code_change,csa_tmp_inc_evnt_rmdy2110_v6
next_nbn_resrej_decline_reason_change,csa_tmp_inc_evnt_rmdy2110_v6
next_nbn_resrejdecline_comment_change,csa_tmp_inc_evnt_rmdy2110_v6
next_rejection_accept_ts_local,csa_tmp_inc_evnt_rmdy2110_v7
next_rejection_accept_user_x,csa_tmp_inc_evnt_rmdy2110_v7
next_rejection_decline_ts_local,csa_tmp_inc_evnt_rmdy2110_v6
next_rejection_decline_user_x,csa_tmp_inc_evnt_rmdy2110_v6
next_resolution_rejection_accept_decline_by,csa_tmp_inc_evnt_rmdy2110_v7
next_status_ts,csa_tmp_inc_evnt_rmdy2110_v6
original_request_id,t2110
otd_milestone,csa_tmp_inc_evnt_rmdy2110_v5
prev_interaction_audit_date_aest,csa_tmp_inc_evnt_rmdy2110_v6
prev_interaction_audit_date_local,csa_tmp_inc_evnt_rmdy2110_v6
prev_interaction_milestone,csa_tmp_inc_evnt_rmdy2110_v5
previous inc evnt status,csa_inc_evnt_rmdy2110_t
previous_assigned_group,csa_tmp_inc_evnt_rmdy2110_v5
previous_incident_status,csa_tmp_inc_evnt_rmdy2110_v5
request_id,t2110
res_cat_3,csa_tmp_inc_evnt_rmdy2110_v3
res_cat_3_change,csa_tmp_inc_evnt_rmdy2110_v4
resolution_category_change,csa_tmp_inc_evnt_rmdy2110_v4
resolution_rejected_date,csa_tmp_inc_evnt_rmdy2110_v7
running_max_access_seeker_update_ts_aest,csa_tmp_inc_evnt_rmdy2110_v6
running_max_assigned_group_ts_local,csa_tmp_inc_evnt_rmdy2110_v6
running_max_assigned_groupd_ts_aest,csa_tmp_inc_evnt_rmdy2110_v6
running_max_resolution_rejected_update_ts_aest,0
running_max_resolved_ts_aest,csa_tmp_inc_evnt_rmdy2110_v6
running_max_resolved_ts_local,csa_tmp_inc_evnt_rmdy2110_v6
running_max_status_ts_aest,csa_tmp_inc_evnt_rmdy2110_v6
running_max_status_ts_local,csa_tmp_inc_evnt_rmdy2110_v6
short_description,t2110
site_id,gns_vwfm_agentadherencetotal_v
sitename,gns_vwfm_agentadherencetotal_v
status,t2110
submitter,t2110
team_id,gns_vwfm_agentadherencetotal_v
teamname,gns_vwfm_agentadherencetotal_v
user_x,t2110
